location,neighborhoods,population,table_date
"Houston, Texas",Harrisburg - Manchester,"3,158",2023-11-23
"Houston, Texas",Greater Greenspoint,"42,888",2023-11-23
"Houston, Texas",Spring Branch West,"30,076",2023-11-23
"Houston, Texas",Woodlake - Briarmeadow,"47,958",2023-11-23
"Houston, Texas",Fourth Ward,"3,881",2023-11-23
"Houston, Texas",Magnolia Park,"17,684",2023-11-23
"Houston, Texas",Willow Meadows - Willowbend Area,"12,750",2023-11-23
"Houston, Texas",Greenway - Upper Kirby Area,"19,931",2023-11-23
"Houston, Texas",Briarforest Area,"39,031",2023-11-23
"Houston, Texas",Pleasantville Area,"3,141",2023-11-23
"Houston, Texas",Spring Branch Central,"28,081",2023-11-23
"Houston, Texas",Hunterwood,"2,526",2023-11-23
"Houston, Texas",Greater Inwood,"33,923",2023-11-23
"Houston, Texas",Spring Branch North,"19,728",2023-11-23
"Houston, Texas",Independence Heights,"13,388",2023-11-23
"Jacksonville, Florida",Oak Haven,"1,026",2023-11-23
"Jacksonville, Florida",Hillcrest,"7,045",2023-11-23
"Jacksonville, Florida",Arlington Manor,"4,385",2023-11-23
"Jacksonville, Florida",Brown Island,292,2023-11-23
"Jacksonville, Florida",Fairfield,"1,127",2023-11-23
"Jacksonville, Florida",Pecan Park,"4,042",2023-11-23
"Jacksonville, Florida",Fairways Forest,"2,822",2023-11-23
"Jacksonville, Florida",Arrowhead,"3,759",2023-11-23
