GEO_ID	NAME	DP05_0088E
Geography	Geographic Area Name	Estimate!!Total housing units
1600000US2836000	"Jackson city, Mississippi"	76474
1600000US2915670	"Columbia city, Missouri"	55962
1600000US2935000	"Independence city, Missouri"	57341
1600000US2938000	"Kansas City city, Missouri"	249272
1600000US2941348	"Lee's Summit city, Missouri"	42171
1600000US2954074	"O'Fallon city, Missouri"	36577
1600000US2964082	"St. Charles city, Missouri"	33281
1600000US2964550	"St. Joseph city, Missouri"	33092
1600000US2965000	"St. Louis city, Missouri"	174049
1600000US2970000	"Springfield city, Missouri"	84329
1600000US3006550	"Billings city, Montana"	54818
1600000US3050200	"Missoula city, Montana"	37628
1600000US3128000	"Lincoln city, Nebraska"	128790
1600000US3137000	"Omaha city, Nebraska"	214669
1600000US3223770	"Enterprise CDP, Nevada"	92009
1600000US3231900	"Henderson city, Nevada"	143835
1600000US3240000	"Las Vegas city, Nevada"	262590
1600000US3251800	"North Las Vegas city, Nevada"	97459
1600000US3254600	"Paradise CDP, Nevada"	93764
1600000US3260600	"Reno city, Nevada"	123380
1600000US3268400	"Sparks city, Nevada"	46344
1600000US3268585	"Spring Valley CDP, Nevada"	94505
1600000US3271400	"Sunrise Manor CDP, Nevada"	72609
1600000US3345140	"Manchester city, New Hampshire"	51311
1600000US3350260	"Nashua city, New Hampshire"	39884
1600000US3403580	"Bayonne city, New Jersey"	30376
1600000US3410000	"Camden city, New Jersey"	26678
1600000US3413690	"Clifton city, New Jersey"	35192
1600000US3419390	"East Orange city, New Jersey"	29117
1600000US3421000	"Elizabeth city, New Jersey"	49932
1600000US3436000	"Jersey City city, New Jersey"	135927
1600000US3438580	"Lakewood CDP, New Jersey"	14392
1600000US3451000	"Newark city, New Jersey"	118265
1600000US3456550	"Passaic city, New Jersey"	20613
1600000US3457000	"Paterson city, New Jersey"	53159
1600000US3473110	"Toms River CDP, New Jersey"	39740
1600000US3474000	"Trenton city, New Jersey"	32561
1600000US3474630	"Union City city, New Jersey"	26286
1600000US3502000	"Albuquerque city, New Mexico"	258335
1600000US3539380	"Las Cruces city, New Mexico"	50454
1600000US3563460	"Rio Rancho city, New Mexico"	42084
1600000US3570500	"Santa Fe city, New Mexico"	47460
1600000US3601000	"Albany city, New York"	50529
1600000US3611000	"Buffalo city, New York"	139156
1600000US3615000	"Cheektowaga CDP, New York"	34944
1600000US3649121	"Mount Vernon city, New York"	30642
1600000US3650617	"New Rochelle city, New York"	33291
1600000US3651000	"New York city, New York"	3679063
1600000US3663000	"Rochester city, New York"	103260
1600000US3665508	"Schenectady city, New York"	30302
1600000US3673000	"Syracuse city, New York"	66350
1600000US3684000	"Yonkers city, New York"	81651
1600000US3701520	"Apex town, North Carolina"	26040
1600000US3702140	"Asheville city, North Carolina"	49011
1600000US3710740	"Cary town, North Carolina"	76310
1600000US3712000	"Charlotte city, North Carolina"	406055
1600000US3714100	"Concord city, North Carolina"	41154
1600000US3719000	"Durham city, North Carolina"	134423
1600000US3722920	"Fayetteville city, North Carolina"	92076
1600000US3725580	"Gastonia city, North Carolina"	36861
1600000US3728000	"Greensboro city, North Carolina"	133125
1600000US3728080	"Greenville city, North Carolina"	45880
1600000US3731400	"High Point city, North Carolina"	48438
1600000US3734200	"Jacksonville city, North Carolina"	26124
1600000US3755000	"Raleigh city, North Carolina"	225320
1600000US3774440	"Wilmington city, North Carolina"	62489
1600000US3775000	"Winston-Salem city, North Carolina"	114796
1600000US3807200	"Bismarck city, North Dakota"	35034
1600000US3825700	"Fargo city, North Dakota"	63183
1600000US3901000	"Akron city, Ohio"	93123
1600000US3912000	"Canton city, Ohio"	34305
1600000US3915000	"Cincinnati city, Ohio"	161545
1600000US3916000	"Cleveland city, Ohio"	200223
1600000US3918000	"Columbus city, Ohio"	429289
1600000US3921000	"Dayton city, Ohio"	72874
1600000US3944856	"Lorain city, Ohio"	31309
1600000US3961000	"Parma city, Ohio"	36252
1600000US3977000	"Toledo city, Ohio"	132209
1600000US4009050	"Broken Arrow city, Oklahoma"	47352
1600000US4023200	"Edmond city, Oklahoma"	37724
1600000US4041850	"Lawton city, Oklahoma"	40388
1600000US4052500	"Norman city, Oklahoma"	56702
1600000US4055000	"Oklahoma City city, Oklahoma"	305402
1600000US4075000	"Tulsa city, Oklahoma"	194541
1600000US4105350	"Beaverton city, Oregon"	41004
1600000US4105800	"Bend city, Oregon"	47631
1600000US4123850	"Eugene city, Oregon"	79852
1600000US4131250	"Gresham city, Oregon"	48063
1600000US4134100	"Hillsboro city, Oregon"	46315
1600000US4147000	"Medford city, Oregon"	38165
1600000US4159000	"Portland city, Oregon"	305077
1600000US4164900	"Salem city, Oregon"	70335
1600000US4202000	"Allentown city, Pennsylvania"	49553
1600000US4206088	"Bethlehem city, Pennsylvania"	32404
1600000US4224000	"Erie city, Pennsylvania"	44034
1600000US4260000	"Philadelphia city, Pennsylvania"	757656
1600000US4261000	"Pittsburgh city, Pennsylvania"	161999
1600000US4263624	"Reading city, Pennsylvania"	35173
1600000US4269000	"Scranton city, Pennsylvania"	37299
1600000US4419180	"Cranston city, Rhode Island"	33977
1600000US4454640	"Pawtucket city, Rhode Island"	33635
1600000US4459000	"Providence city, Rhode Island"	79302
1600000US4474300	"Warwick city, Rhode Island"	38480
1600000US4513330	"Charleston city, South Carolina"	75816
1600000US4516000	"Columbia city, South Carolina"	62487
1600000US4530850	"Greenville city, South Carolina"	38214
1600000US4548535	"Mount Pleasant town, South Carolina"	45264
1600000US4550875	"North Charleston city, South Carolina"	51846
1600000US4561405	"Rock Hill city, South Carolina"	35186
1600000US4652980	"Rapid City city, South Dakota"	36569
1600000US4659020	"Sioux Falls city, South Dakota"	89528
1600000US4714000	"Chattanooga city, Tennessee"	86737
1600000US4715160	"Clarksville city, Tennessee"	72431
1600000US4727740	"Franklin city, Tennessee"	35295
1600000US4737640	"Jackson city, Tennessee"	31324
1600000US4738320	"Johnson City city, Tennessee"	33078
1600000US4740000	"Knoxville city, Tennessee"	95106
1600000US4748000	"Memphis city, Tennessee"	290535
1600000US4751560	"Murfreesboro city, Tennessee"	66911
1600000US4752006	"Nashville-Davidson metropolitan government (balance), Tennessee"	347694
1600000US4801000	"Abilene city, Texas"	53397
1600000US4801924	"Allen city, Texas"	40891
1600000US4803000	"Amarillo city, Texas"	89448
1600000US4804000	"Arlington city, Texas"	150576
1600000US4804462	"Atascocita CDP, Texas"	35630
1600000US4805000	"Austin city, Texas"	482411
1600000US4806128	"Baytown city, Texas"	36061
1600000US4807000	"Beaumont city, Texas"	51962
1600000US4810768	"Brownsville city, Texas"	61908
1600000US4810912	"Bryan city, Texas"	38574
1600000US4813024	"Carrollton city, Texas"	53442
1600000US4813552	"Cedar Park city, Texas"	30809
1600000US4815976	"College Station city, Texas"	49597
1600000US4816432	"Conroe city, Texas"	43969
1600000US4817000	"Corpus Christi city, Texas"	137142
1600000US4819000	"Dallas city, Texas"	587984
1600000US4819972	"Denton city, Texas"	59244
1600000US4822660	"Edinburg city, Texas"	35023
1600000US4824000	"El Paso city, Texas"	266913
1600000US4826232	"Flower Mound town, Texas"	30082
1600000US4827000	"Fort Worth city, Texas"	373502
1600000US4827684	"Frisco city, Texas"	79879
1600000US4829000	"Garland city, Texas"	86988
1600000US4829336	"Georgetown city, Texas"	40285
1600000US4830464	"Grand Prairie city, Texas"	73005
1600000US4832372	"Harlingen city, Texas"	32817
1600000US4835000	"Houston city, Texas"	1043326
1600000US4837000	"Irving city, Texas"	99501
1600000US4839148	"Killeen city, Texas"	66468
1600000US4841464	"Laredo city, Texas"	84062
1600000US4841980	"League City city, Texas"	45495
1600000US4842016	"Leander city, Texas"	27559
1600000US4842508	"Lewisville city, Texas"	56287
1600000US4843888	"Longview city, Texas"	37748
1600000US4845000	"Lubbock city, Texas"	119947
